"tweet_id","candidate","name","tweet_created","tweet_location","user_timezone","retweet_count","text"
"ID708109529012015104","Trump","Paratisi","03/10/2016 20:57","Deep in the heart of LibLand","Atlantic Time (Canada)","6","RT @dawngpsalm63: I don't believe a word #Reince has to say #Trump has been loyal to his pledge #GOP has betrayed us!#GOPDebate #CNN https:��"
"ID708084651739324416","Trump","WHY","03/10/2016 19:18","Behind U","null","0","@HuntsmanAbby @VanJones68 ask Trump a tough question & he'll have someone meet you in the parking lot #NeverTrump #GOPDebate"
"ID707978896533225472","Trump","Rose Canales","03/10/2016 12:18","CA","null","267","RT @immigrant4trump: The American people are DONE with career politicians
""VOTE FOR TRUMP!"" #Trump2016 #VoteTrump #FLPrimary #GOPDebate htt��"
"ID707988962967724032","Trump","elmaterdor","03/10/2016 12:58","United States","Central Time (US & Canada)","1","@realdonaldtrump no reason this has to be complicated for Ohio voters.  #GOPDebate discussion point?  https://t.co/paNCccZU54"
"ID708107680947154945","Trump","Ms. Williams","03/10/2016 20:50","Chicago. South Side.","Central Time (US & Canada)","3","RT @Rosenthaltweets: More Trump #GOPDebate predictions
- ��That��s not what Romney��s Mom said last night��
- ��I will be so Presidential, you��r��"
"ID708077168786542592","Trump","Right Side of Life","03/10/2016 18:48","null","null","0","Did not see this coming, pretty big get for Donald Trump #GOPDebate  https://t.co/A3RceuAyv2"
"ID708062727449780224","Trump","Dan","03/10/2016 17:51","null","Pacific Time (US & Canada)","0","Charles Evers gave endorsement & stated ""'I haven't seen any proof of him [Trump] being a racist."" #GOPDebate https://t.co/8Wwv53suML"
"ID708085618044116992","Trump","John Charles Parnell","03/10/2016 19:22","San Diego, CA","Pacific Time (US & Canada)","8","RT @PatriotByGod: #AlwaysTrump because all of the American Peoples enemies are Trump's enemies. MSM, The Establishment, The UN, European Un��"
"ID708106238677094400","Trump","hulkiest","03/10/2016 20:44","null","null","0","@CNN Trump only says what he thinks people wan't to hear, but will not do the things he says he is. #GOPDebate"
"ID708095436498837505","Trump","NvS_BaByLoV3","03/10/2016 20:01","null","Eastern Time (US & Canada)","14","RT @awzurcher: Who is going to take a metaphorical bat to Trump tonight at the #GOPDebate in Florida? https://t.co/RzhY0LzyiM"
"ID708070823437795329","Cruz","catalishus","03/10/2016 18:23","Ventura, Ca","Pacific Time (US & Canada)","89","RT @DarleneHBrook: New Gallup Poll Shows #TedCruz W/ Highest #GOP Favorable Rating https://t.co/XLqNl9kP9L #GOPDebate #1A #2A #CruzCrew htt��"
"ID708108557443579905","Trump","SecureOurBorder","03/10/2016 20:53","America","null","8","If you all make it to 90 years old you'll also have urinary tract infections and #FeelTheBern #Trump GOPDebate https://t.co/r5KQBiTvLS"
"ID708068746858991617","Trump","Kathryn Price","03/10/2016 18:15","Philadelphia and Bangladesh","Pacific Time (US & Canada)","0","#GOPDebate I'm not understanding why Collins is making excuses for Trump manufacturing overseas? Double standard #NeverTrump"
"ID708103469962502145","Cruz","Perry Bullock","03/10/2016 20:33","Salusa Secundus","Eastern Time (US & Canada)","89","RT @DarleneHBrook: New Gallup Poll Shows #TedCruz W/ Highest #GOP Favorable Rating https://t.co/XLqNl9kP9L #GOPDebate #1A #2A #CruzCrew htt��"
"ID708106670522683392","Trump","hulkiest","03/10/2016 20:46","null","null","0","@CNN #GOPDebate Hey Trump release the tapes and taxes and show your true self. #Florida"
"ID708100102963863553","Trump","MsAccountability","03/10/2016 20:19","null","Quito","0","Important for @realDonaldTrump / #GOPDebate tonight is to attack ABOVE belt - with respect abt policy issues / not PERSONAL attacks
#Trump"
"ID707973768912703488","Trump","Social?Fly","03/10/2016 11:57","New York, NY","Eastern Time (US & Canada)","0","Looks like Trump has a YUGE announcement at tonight's #GOPDebate ... https://t.co/1wUOExjadd"
"ID708104518970449920","Trump","darth!?","03/10/2016 20:37","sleepy so sleepy ","Pacific Time (US & Canada)","17","candidates all backstage feasting on trump steaks and drinking trump wine rn 

#GOPDebate"
"ID708109221863284737","Trump","Kris Kanthak","03/10/2016 20:56","All up in your grill.","Eastern Time (US & Canada)","0","There's no way in hell I'm voting for Trump. Does this means Reince Priebus won't let me watch? #GOPDebate"
"ID708081321340489729","Trump","Captain Smirk","03/10/2016 19:05","Utopia Planitia, Mars Colony","Eastern Time (US & Canada)","25","RT @OccupyWallStNYC: All evidence suggests the Trump campaign is lying about manhandling a reporter #GOPDebate https://t.co/sBgmYtKRMg http��"
"ID708105183193141248","Trump","Alexandra Rosas","03/10/2016 20:40","Producer LTYMshow/Milwaukee","Mountain Time (US & Canada)","0","Everyone thinks Trump will somehow be presidential tonight. He can��t resist threats. It��ll be personal attacks within 3 mins. #GOPDebate"
"ID708082965851410433","Cruz","Natalie TX #CruzCrew","03/10/2016 19:11","null","Central Time (US & Canada)","17","RT @femijr: Ted Cruz didn't have many friends in Washington DC because he kept his promises to US. #tcot #PJNET #ChooseCruz #CruzCrew #GOPD��"
"ID708003788783755264","Trump","Sandy","03/10/2016 13:57","null","America/New_York","267","RT @immigrant4trump: The American people are DONE with career politicians
""VOTE FOR TRUMP!"" #Trump2016 #VoteTrump #FLPrimary #GOPDebate htt��"
"ID708109783170215936","Trump","I Love Carbs","03/10/2016 20:58","America","null","44","RT @Veteran4Trump: Herschel Walker - Shut Up to @MittRomney ... You're a Loser!  ""Trump will save America"" https://t.co/z2l0QNxhBw #AlwaysT��"
"ID708101849295884288","Trump","Rick Benton","03/10/2016 20:26","?T: 35.79925,-80.918805","Eastern Time (US & Canada)","0","#GOPDebate @CarlyFiorina said ""it's about the American people not the candidate"" then respect our wishes & go home! Better yet vote 4 trump!"
"ID708091884082581504","Trump","Carlos Ortega","03/10/2016 19:47","null","null","112","RT @immigrant4trump: Watch Trump at CNN's #GOPDebate Miami, FL Tonight-8:30ET
Live Stream: https://t.co/PikGgQIRY3  #Trump2016 #FLPrimary h��"
"ID708109889512587265","Rubio","Ioana F","03/10/2016 20:58","null","Eastern Time (US & Canada)","0","I bet Rubio's entire political career is flashing before his eyes. #GOPDebate"
"ID708104205039476738","Trump","Aslan's Girl","03/10/2016 20:36","null","Central Time (US & Canada)","136","RT @scottienhughes: You know it's going to be a great night when you U run into @AnnCoulter before #GOPDebate #Trump https://t.co/F36lSkkqXw"
"ID708073618140479488","Trump","North Jersey News","03/10/2016 18:34","New Jersey","Eastern Time (US & Canada)","0","Trump, GOP rivals ready to rumble in crucial #GOPDebate https://t.co/Tp6KsEpAdi"
"ID708103046904025088","Trump","Tim Waite","03/10/2016 20:31","null","null","2","RT @debra55555: #GOPDEBATE. trump is running for POTUS for American People because he has the knowledge to help and knows that it is needed."
