"tweet_id","candidate","name","tweet_created","tweet_location","user_timezone","retweet_count","text"
"7.02985E+17","Trump","Tyler Christensen","2/25/16 22:33","null","null","11","RT @chrisrockyoz: Wall out Mexicans, hate the Pope, ban Muslims, ban the iPhone - it's getting more difficult to argue Trump isn't the anti�"
"7.02985E+17","Trump","Robnus tognus","2/25/16 22:32","In The Fight, USA","Mountain Time (US & Canada)","0","Time to go to War. It�s Time for an Anti-Trump Manhattan Project #GOPDebate #DumpTrump #MakingCultsGreatAgain https://t.co/4gDhQspi8Q  @NRO"
"7.02985E+17","Trump","Tilla","2/25/16 22:32","Birdman Squad","null","1","RT @Fed51NewsGroup: Get used to saying ""President Trump"". No candidate has ever lost the nomination with this good a start. #RealTalk #GOPD�"
"7.02984E+17","Trump","rainman","2/25/16 22:32","jacksonville fl","null","101","RT @Kris_Sacrebleu: New Audio: Donald Trump Said A Lot Of Gross Things About Women On �Howard Stern� 

#DumpTrump #GOPDebate 

https://t.co�"
"7.02984E+17","Trump","Bruce Mirken","2/25/16 22:31","San Francisco","null","0","Why I love @mtaibbi ""The whole #Trump run is like a Jerry Springer episode"" #GOPdebate tonight!
 https://t.co/0XDmDdBfpL"
"7.02984E+17","Trump","Dorothy Lunche","2/25/16 22:31","null","null","3","RT @beadanurse: #CNN #GOPDebate PLease turn OFF Trump's mike when it isn't his turn to speak. Would love to hear what other candidates have�"
"7.02984E+17","Trump","Dee Dee Lunche","2/25/16 22:31","null","Pacific Time (US & Canada)","3","RT @beadanurse: #CNN #GOPDebate PLease turn OFF Trump's mike when it isn't his turn to speak. Would love to hear what other candidates have�"
"7.02984E+17","Trump","Sherry Leeds","2/25/16 22:31","Republic Of Texas","America/Chicago","7","RT @Norsu2: Trump on his Daddy's inheritance and the small $1 million loan https://t.co/YVVdzPTj1s #TrumpMoneyBags Show me the Tax Returns!�"
"7.02984E+17","Trump","Sherry Leeds","2/25/16 22:29","Republic Of Texas","America/Chicago","101","RT @Kris_Sacrebleu: New Audio: Donald Trump Said A Lot Of Gross Things About Women On �Howard Stern� 

#DumpTrump #GOPDebate 

https://t.co�"
"7.02984E+17","Trump","Stella Storm","2/25/16 22:29","null","Pacific Time (US & Canada)","124","RT @ChristiChat: 97% Chance @realDonaldTrump
Is The Next PRESIDENT 
 
#GOPDebate
#Trump2016
#MAGA

?https://t.co/XEj28nqXKC https://t.co/Kr�"
"7.02984E+17","Trump","The Federalist 51","2/25/16 22:28","Minnesota, USA","null","1","Get used to saying ""President Trump"". No candidate has ever lost the nomination with this good a start. #RealTalk #GOPDebate"
"7.02984E+17","Trump","Brandelyn","2/25/16 22:28","Gulf Coast - Texas","Central Time (US & Canada)","1","RT @JFish13: #GOPDebate drinking game

When Trump says, take a drink

Build a wall
We don't win
Make America Great again

You'll be drunk i�"
"7.02983E+17","Trump","Brandelyn","2/25/16 22:28","Gulf Coast - Texas","Central Time (US & Canada)","1","RT @BobbiJoR: At this point, do the other candidates *have* to take on Trump, or can they just focus on the issues? #GOPDebate"
"7.02983E+17","Trump","Kathryn Price","2/25/16 22:28","Philadelphia and Bangladesh","Pacific Time (US & Canada)","101","RT @Kris_Sacrebleu: New Audio: Donald Trump Said A Lot Of Gross Things About Women On �Howard Stern� 

#DumpTrump #GOPDebate 

https://t.co�"
"7.02983E+17","Trump","Lance Silver","2/25/16 22:27","Philadelphia Pa","Pacific Time (US & Canada)","124","RT @ChristiChat: 97% Chance @realDonaldTrump
Is The Next PRESIDENT 
 
#GOPDebate
#Trump2016
#MAGA

?https://t.co/XEj28nqXKC https://t.co/Kr�"
"7.02983E+17","Trump","Gregory Nazianzen","2/25/16 22:27","Ohio, USA","null","0","If #GOPDebate turns to policy instead of Food fight antics Trump is done. https://t.co/bZExjJ64rd"
"7.02983E+17","Trump","Bobbi Jo Rohrberg","2/25/16 22:27","Iowa","Central Time (US & Canada)","1","At this point, do the other candidates *have* to take on Trump, or can they just focus on the issues? #GOPDebate"
"7.02983E+17","Trump","James","2/25/16 22:27","null","Eastern Time (US & Canada)","1","#GOPDebate drinking game

When Trump says, take a drink

Build a wall
We don't win
Make America Great again

You'll be drunk in 10 minutes"
"7.02983E+17","Trump","Shawn Everhart","2/25/16 22:26","Nevada, USA","null","21","RT @DrSueDVM: Trump is the antithesis of a diplomat. The whole world will hate us. ?
https://t.co/ECh8do2Aak 
#WAKEUP #GOPDebate #SuperTues�"
"7.02983E+17","Trump","Anne Leary","2/25/16 22:25","Ex-Chicago","Central Time (US & Canada)","0","Check out #Trump, folks. #GOPDebate #SECPrimary #FLPrimary #VApol  https://t.co/qTBCWzs5Bu"
"7.02983E+17","Trump","Brenda Kay Piper","2/25/16 22:24","Ocala, Florida","America/New_York","3","#CNN #GOPDebate PLease turn OFF Trump's mike when it isn't his turn to speak. Would love to hear what other candidates have to say."
"7.02982E+17","Trump","Jason","2/25/16 22:24","United States","null","0","Mr Trump would you like to rebut? YES! wait..what?@Jay_Severin #somethingshiny #GOPDebate #Alamo https://t.co/E083JIBgGQ"
"7.02982E+17","Trump","Jessica","2/25/16 22:23","Land of Free, Home of Brave","Eastern Time (US & Canada)","1","RT @smleinart: Classy. Donald #Trump
bragged Princess Diana was 'crazy' & he 'could have slept
w/her'

@SECPrimary #GOPDebate
????

https:/�"
"7.02982E+17","Trump","Easton Leonard�??","2/25/16 22:22","Arkansas","Central Time (US & Canada)","5","RT @ARTrumpStudents: Arkansas Students For Trump will be Live Tweeting tonight's GOP Debate! Make sure to tune in for live updates! #GOPDeb�"
"7.02982E+17","Trump","Anita Pill","2/25/16 22:22","null","null","0","@realDonaldTrump @GOP #GOP #GOPDebate No Trump, no vote. No Trump, no vote. No Trump, no vote. Let's get the movement started."
"7.02982E+17","Trump","Franklin-Maximus","2/25/16 22:21","New York, USA","null","0","@cnn #GOPDebate Will #CNN ask Donald Trump about funds raised for Veterans but not yet distributed? What's so complicated? Time 4 substance!"
"7.02982E+17","Trump","Fabio Souza","2/25/16 22:21","Montr�al, Qu�bec","Eastern Time (US & Canada)","1","To #GOPDebate ,Trump is an asset. He brings color, hope, enthusiasm and fun to a world, which clearly and unfortunately is on brink of war."
"7.02982E+17","Trump","Charlie Winston","2/25/16 22:21","St. Louis, Mo","Central Time (US & Canada)","0","@polyglotme @hardball @realDonaldTrump good,i just like the idea of illegal #chili shitters being out of this country #GopDebate #Trump grin"
"7.02982E+17","Trump","Kaiser","2/25/16 22:20","null","Athens","0","Aaaah.. #GOPDebate (#comedy night) tonight, with #TYTLive. I wonder if David Duke will rip off his mask from his Donald Trump costume."
"7.02982E+17","Trump","Lincoln's View","2/25/16 22:20","null","Central Time (US & Canada)","6","RT @Trumpstyle21: Get your popcorn since tonight's #debate will be good! #Trump vs the lame #gop establishment. #cnndebate #gopdebate https�"
"7.02981E+17","Trump","Trevory-Pokery","2/25/16 22:20","Melancholia","Eastern Time (US & Canada)","0","Guess @govmikehuckabee got his 30 pieces of silver. https://t.co/6ieCwFtXU9 #MAGA #Trump2016 #gopdebate"
"7.02981E+17","Trump","denise e.","2/25/16 22:20","null","Eastern Time (US & Canada)","1","RT @truthmashup: Morning Joe's love affair with Donald Trump is what dreams are made of. #FacePalm! #GOPDebate #uspoli #Dems https://t.co/4�"
"7.02981E+17","Trump","Fact","2/25/16 22:19","null","Pacific Time (US & Canada)","0","Br0adway8: Who is ready for the #GOPDebate tonight on #cnn? Hope people see #trump for what he is-a false conservative and professional pan�"
"7.02981E+17","Trump","Sam Puzzo","2/25/16 22:19","Top of the world, Ma!","Central Time (US & Canada)","2","RT @uselessfunny: LMAO!! #Trump #GOPDebate #trumpdump Donald Trump https://t.co/yAmLuigpM2"
"7.02981E+17","Trump","Rory Brecken","2/25/16 22:18","St Louis, MO","null","0","Who is ready for the #GOPDebate tonight on #cnn? Hope people see #trump for what he is-a false conservative and professional panderer #tcot"
"7.02981E+17","Trump","Sufyan","2/25/16 22:18","null","London","0","But isn't that the same excuse #isis #Daesh use? Lol
Really what the world needs right now..Sigh! #Trump #GOPDebate  https://t.co/wHo6Uyam8o"
"7.02981E+17","Trump","Jacqueline","2/25/16 22:18","null","Eastern Time (US & Canada)","5","RT @DavidRomeiPHD: #MittRomney betrays his lying heart.  LOL  Endorsed by #DonaldTrump in 2012, he  stabs #Trump in back. #GOPDebate https:�"
"7.02981E+17","Trump","Willie B","2/25/16 22:18","Florida, USA","null","6","Get your popcorn since tonight's #debate will be good! #Trump vs the lame #gop establishment. #cnndebate #gopdebate https://t.co/swRYBYE8AG"
"7.02981E+17","Trump","FrankB","2/25/16 22:17","Gloucester MA","Pacific Time (US & Canada)","124","RT @ChristiChat: 97% Chance @realDonaldTrump
Is The Next PRESIDENT 
 
#GOPDebate
#Trump2016
#MAGA

?https://t.co/XEj28nqXKC https://t.co/Kr�"
"7.02981E+17","Trump","Franklin-Maximus","2/25/16 22:17","New York, USA","null","0","@cnn #GOPDebate Hoping #CNN pressures Donald Trump to answer questions with specifics & substance. #Time4Details https://t.co/sAcFsjkArJ"
"7.02981E+17","Trump","Arno Grigorian","2/25/16 22:17","Santa Clara, CA ","Eastern Time (US & Canada)","0","This what @realDonaldTrump's State of Union will look like. #GetReadyAmerica #GOPDebate #GOP #idiocracy #Trump https://t.co/uiB5ltn3ZY"
"7.02981E+17","Trump","Belle","2/25/16 22:17","European humanist ","Pacific Time (US & Canada)","101","RT @Kris_Sacrebleu: New Audio: Donald Trump Said A Lot Of Gross Things About Women On �Howard Stern� 

#DumpTrump #GOPDebate 

https://t.co�"
"7.02981E+17","Trump","iScream","2/25/16 22:17","Seattle WA","Pacific Time (US & Canada)","0","If Trump doesn't get his shit together & starts acting like a human, this country gonna be Comedy Central...
#GOPDebate"
"7.02981E+17","Trump","Mathew Helman","2/25/16 22:16","Melrose, MA","null","0","Some of the best prose abt the 2016 race for the GOP Presidential nomination, from @mtaibbi https://t.co/SYnJO0QlYM #GOPDebate #DonaldTrump"
"7.02981E+17","Trump","Richard Garner","2/25/16 22:16","Asheville ","null","8","RT @Randy_Shannon: Trump is not tough - Do it Marco! DO IT !

#GOPDebate 

cc: @Tark31 https://t.co/UaezRm5NkB"
"7.0298E+17","Trump","Trina Leon","2/25/16 22:14","Porterville,Ca","Central Time (US & Canada)","0","#GOPDEBATE  Even my dog is sad cause we republicans need to stop Donald Trump !! Wake up America , stop Donald Trump https://t.co/oirBg4Nr2o"
"7.0298E+17","Trump","Silly Canadian","2/25/16 22:14","Montreal, Quebec","null","3","RT @outrageous74: ""My campaign advisor (Palin) recommends I weat this suit to #GOPDebate to convey a military stature"" #Trump https://t.co/�"
"7.0298E+17","Trump","kenisbusy","2/25/16 22:13","Liverpool","null","251","RT @TheBaxterBean: KKK Rallies For Republican Frontrunner Trump At Nevada Caucus Sites https://t.co/cvbPqL6VmB #NVcaucus #GOPDebate https:/�"
"7.0298E+17","Trump","TannersDad Tim","2/25/16 22:13","USA","Central Time (US & Canada)","1","�Donald Trump is a skilled negotiator� - Rep Chris Collins Endorses @RealDonaldTrump #GOPDebate @JakeTapper #VoteTrump2016 Bring Jobs Back!"
"7.0298E+17","Trump","Juan Carlos","2/25/16 22:13","null","Eastern Time (US & Canada)","0","America, you�re stupid: Donald Trump�s political triumph makes it official � we�re a nation of idiots https://t.co/9SiUJtixWA #GOPDebate"
"7.0298E+17","Trump","Lois Rogers","2/25/16 22:13","null","null","0","Nat'l Enquirer this week:We tell candidates' secrets.Trump's? He's more popular than he lets on.
#Trump #GOPDebate https://t.co/Mx2HmW5amM"
"7.0298E+17","Trump","diana","2/25/16 22:13","Bend, OR","Pacific Time (US & Canada)","101","RT @Kris_Sacrebleu: New Audio: Donald Trump Said A Lot Of Gross Things About Women On �Howard Stern� 

#DumpTrump #GOPDebate 

https://t.co�"
"7.0298E+17","Trump","Outrageous Hilarity","2/25/16 22:12","null","null","2","RT @uselessfunny: LMAO!! #Trump #GOPDebate #trumpdump Donald Trump https://t.co/yAmLuigpM2"
"7.02979E+17","Trump","Cathy A","2/25/16 22:12","null","Eastern Time (US & Canada)","0","@realDonaldTrump @GOPDebate Well, here's 2 another contrived #Trump interrogation show! WeThePeople appreciate what U R going thru 4 the US!"
